Title,Year,Stars,Director,Genre
Shaft's Big Score,1972,"Richard Roundtree, Moses Gunn, Drew Bundini Brown",Gordon Parks,Action
Shaka Zulu,1986,"Edward Fox, Robert Powell, Trevor Howard",William C. Faure,Action
"Sheba, Baby",1975,"Pam Grier, Austin Stoker, D’Urville Martin",William Girdler,Action
Shottas,2002,"Ky-Mani Marley, Spragga Benz, Louie Rankin",Cess Silvera,Action
Silver Streak,1976,"Gene Wilder, Richard Pryor, Jill Clayburgh",Arthur Hiller,Action
Slaughter,1972,"Jim Brown, Stella Stevens, Rip Torn",Jack Starrett,Action
Slaughter's Big Ripoff,1973,"Jim Brown, Ed McMahon, Don Stroud",Gordon Douglas,Action
Soul Brothers of Kung Fu,1977,"Meng Lo, Carl Scott, Feng Ku",Yi-Jung Hua,Action
Soul Vengeance aka Welcome Home Brother Charles,1975,"Marlo Monte, Reatha Grey, Stan Kamber",Jamaa Fanaka,Action
Strapped,1993,"William James Stiggers Jr., Chi Ali, Bokeem Woodbine",Forest Whitaker,Action
Sugar Hill,1974,"Marki Bey, Robert Quarry, Don Pedro Colley",Paul Maslansky,Action
Superfly,1972,"Ron O’Neal, Carl Lee, Sheila Frazier",Gordon Parks Jr.,Action
Surviving the Game,1994,"Rutger Hauer, Ice-T, Charles S. Dutton",Ernest R. Dickerson,Action
The Arena,1974,"Margaret Markov, Pam Grier, Lucretia Love",Steve Carver,Action
The Big Bird Cage,1972,"Pam Grier, Anitra Ford, Candice Roman",Jack Hill,Action
The Big Doll House,1971,"Roberta Collins, Pam Grier, Judith Brown",Jack Hill,Action
The Black Godfather,1974,"Rod Perry, Damu King, Don Chastain", John Evans,Action
The Black Six,1973,"Robert Howard, Cindy Daly, Mikel Angel",Matt Cimber,Action
The Book of Eli,2010,"Denzel Washington, Mila Kunis, Ray Stevenson","Albert Hughes, Allen Hughes",Action
The Candy Tangerine Man,1975," John Daniels, Eli Haines, Tom Hankason",Matt Cimber,Action
The Final Comedown,1972,"Billy Dee Williams, D’Urville Martin, Celia Kaye",Oscar Williams,Action
The Glove,1979,"John Saxon, Roosevelt Grier, Joanna Cassidy",Ross Hagen,Action
The Gods Must Be Crazy,1980,"N!xau, Marius Weyers, Sandra Prinsloo",Jamie Uys,Action
The Golden Child,1986,"Eddie Murphy, J.L. Reate, Charles Dance",Michael Ritchie,Action
The Good Guy from Harlem aka The Guy from Harlem,1977,"Loye Hawkins, Cathy Davis, Patricia Fulton",Rene Martinez Jr,Action
The Hitter,1979,"Ron O’Neal, Sheila Frazier, Adolph Caesar",Christopher Leitch,Action
The Human Tornado,1976,"Rudy Ray Moore, Lady Reed, Jimmy Lynch",Cliff Roquemore,Action
The Karate Kid,2010,"Jackie Chan, Jaden Smith, Taraji P. Henson",Harald Zwart,Action
The Last Dragon,1985,"Taimak, Vanity, Christopher Murney",Michael Schultz,Action
The Mighty Quinn,1989,"Denzel Washington, Robert Townsend, James Fox",Carl Schenkel,Action
The Muthers,1976,"Jeannie Bell, Rosanne Katon, Trina Parks",Cirio H. Santiago,Action
The Omega Man,1971,"Charlton Heston, Anthony Zerbe, Rosalind Cash",Boris Sagal,Action
The Organization,1971,"Sidney Poitier, Barbara McNair, Gerald S. O’Loughlin",Don Medford,Action
The Siege,1998,"Denzel Washington, Bruce Willis, Annette Bening", Edward Zwick,Action
The Slams,1973,"Jim Brown, Judy Pace, Roland Bob Harris", Jonathan Kaplan,Action
The Spook Who Sat by The Door,1973,"Lawrence Cook, Janet League, Paula Kelly",Ivan Dixon,Action
The Take,1974,"Billy Dee Williams, Eddie Albert, Frankie Avalon",Robert Hartford-Davis,Action
"The Taking of Pelham 1, 2, 3",2009,"Denzel Washington, John Travolta, Luis Guzmán",Tony Scott,Action
Thomasine and Bushrod,1974,"Max Julien, Vonetta McGee, George Murdock",Gordon Parks Jr.,Action
Three the Hard Way,1974," Jim Brown, Fred Williamson, Jim Kelly",Gordon Parks Jr,Action
Three the Hard Way Again,1974," Jim Brown, Fred Williamson, Jim Kelly",Gordon Parks Jr.,Action
Tick Tick Tick,1970,"Jim Brown, George Kennedy, Fredric March",Ralph Nelson,Action
TNT Jackson,1974,"Jeannie Bell, Stan Shaw, Pat Anderson", Cirio H. Santiago,Action
Trick Baby,1972,"Kiel Martin, Mel Stewart, Dallas Edward Hayes",Larry Yust,Action
Trouble Man,1972,"Robert Hooks, Paul Winfield, Ralph Waite",Ivan Dixon,Action
Truck Turner,1974,"Isaac Hayes, Yaphet Kotto, Alan Weeks", Jonathan Kaplan,Action
Turn It Up,2000,"Pras, Ja Rule, Jason Statham",Robert Adetuyi,Action
Undercover Brother,2002,"Eddie Griffin, Denise Richards, Aunjanue Ellis",Malcolm D. Lee,Action
Undisputed,2002,"Wesley Snipes, Ving Rhames, Peter Falk",Walter Hill,Action
Undisputed 2: Last Man Standing,2006,"Michael Jai White, Scott Adkins, Ben Cross",Isaac Florentine,Action
Undisputed 3: Redemption,2010,"Scott Adkins, Mykel Shannon Jenkins, Mark Ivanir",Isaac Florentine,Action
Unstoppable,2010,"Denzel Washington, Chris Pine, Rosario Dawson",Tony Scott,Action
Uptown Saturday Night,1974,"Sidney Poitier, Bill Cosby, Harry Belafonte",Sidney Poitier,Action
Virtuosity,1995,"Denzel Washington, Russell Crowe, Kelly Lynch",Brett Leonard,Action
Way of the Black Dragon,1979,"Ron Van Clief, Charles Bonet, Lau Chan",Chih Chen,Action
Welcome Home Brother Charles aka Soul Vengeance,1975,"Marlo Monte, Reatha Grey, Stan Kamber",Jamaa Fanaka,Action
