Title,Year,Stars,Director,Genre
Strictly Business,1991,"Tommy Davidson, Joseph C. Phillips, Anne-Marie Johnson",Kevin Hooks,Romance
The Bodyguard,1992,"Kevin Costner, Whitney Houston, Gary Kemp",Mick Jackson,Romance
The Brother From Another Planet,1984,"Joe Morton, Daryl Edwards, Rosanna Carter",John Sayles,Romance
The Great White Hope,1970,"James Earl Jones, Jane Alexander, Lou Gilbert",Martin Ritt,Romance
The Inkwell,1994,"Larenz Tate, Joe Morton, Suzzanne Douglas",Matty Rich,Romance
The Love Section,2013,"Mekhi Phifer, Lawrence B. Adisa, Brian Hooks",Ronnie Warner,Romance
The Nutty Professor,1996,"Eddie Murphy, Jada Pinkett Smith, James Coburn",Tom Shadyac,Romance
The Skin Game,1971,"James Garner, Louis Gossett Jr., Susan Clark",Paul Bogart,Romance
The Story of a Three Day Pass,1968,"Harry Baird, Pierre Doris, Christian Marin",Melvin Van Peebles,Romance
The Wood,1999,"Elayn J. Taylor, Omar Epps, Richard T. Jones",Rick Famuyiwa,Romance
Their Eyes Were Watching God,2005,"Halle Berry, Ruben Santiago-Hudson, Michael Ealy",Darnell Martin,Romance
Think Like a Man,2012,"Chris Brown, Gabrielle Union, Kevin Hart",Tim Story,Romance
This Christmas,2007,"Regina King, Columbus Short, Delroy Lindo",Preston A. Whitmore II,Romance
Three Can Play That Game,2007,"Vivica A. Fox, Jason George, Jazsmin Lewis",Samad Davis,Romance
Trois,2000,"Gary Dourdan, Gretchen Palmer, Kenya Moore",Rob Hardy,Romance
Two Can Play that Game,2001,"Vivica A. Fox, Morris Chestnut, Anthony Anderson",Mark Brown,Romance
Vampire in Brooklyn,1995,"Eddie Murphy, Angela Bassett, Allen Payne",Wes Craven,Romance
Waiting to Exhale,1995,"Whitney Houston, Angela Bassett, Loretta Devine",Forest Whitaker,Romance
Welcome Home Roscoe Jenkins,2008,"Martin Lawrence, Louis C.K., James Earl Jones",Malcolm D. Lee,Romance
Why Did I Get Married Too?,2010," Janet Jackson, Tyler Perry, Jill Scott",Tyler Perry,Romance
Within Our Gates,1920,"Evelyn Preer, Flo Clements, James D. Ruffin",Oscar Micheaux,Romance
Woo,1998,"Jada Pinkett Smith, Tommy Davidson, Duane Martin",Daisy von Scherler Mayer,Romance
Zebrahead,1992,"Michael Rapaport, DeShonn Castle, Kevin Corrigan",Anthony Drazan,Romance
