Title,Year,Stars,Director,Genre
Friday,1995,"Ice Cube, Chris Tucker, Nia Long",F. Gary Gray,Comedy
Friday After Next,2002,"Ice Cube, Mike Epps, John Witherspoon",Marcus Raboy,Comedy
Getting Played,2006,"Vivica A. Fox, Bill Bellamy, Carmen Electra",David Silberg,Comedy
Ghost Dad,1990,"Bill Cosby, Kimberly Russell, Denise Nicholas",Sidney Poitier,Comedy
Girl 6,1996,"Theresa Randle, Isaiah Washington, Spike Lee",Spike Lee,Comedy
Glory Road,2006,"Josh Lucas, Derek Luke, Austin Nichols",James Gartner,Comedy
Good Burger,1997,"Kel Mitchell, Kenan Thompson, Sinbad",Brian Robbins,Comedy
Good Deeds,2012,"Tyler Perry, Gabrielle Union, Thandie Newton",Tyler Perry,Comedy
Good Fences,2003,"Danny Glover, Whoopi Goldberg, Zachary Simmons Glover",Ernest R. Dickerson,Comedy
Greased Lightning,1977,"Richard Pryor, Beau Bridges, Pam Grier",Michael Schultz,Comedy
Gridlock'd,1997,"Tupac Shakur, Tim Roth, Thandie Newton",Vondie Curtis-Hall,Comedy
Guess Who,2005,"Ashton Kutcher, Bernie Mac, Zoe Saldana",Kevin Rodney Sullivan,Comedy
Hangin' with the Homeboys,1991,"Doug E. Doug, Mario Joyner, John Leguizamo",Joseph B. Vasquez,Comedy
Harlem Nights,1989,"Eddie Murphy, Richard Pryor, Redd Foxx",Eddie Murphy,Comedy
Hav Plenty,1997,"Christopher Scott Cherot, Chenoa Maxwell, Tammi Katherine Jones",Christopher Scott Cherot,Comedy
Head of State,2003,"Chris Rock, Bernie Mac, Lynn Whitfield",Chris Rock,Comedy
Heart Condition,1990,"Bob Hoskins, Denzel Washington, Chloe Webb",James D. Parriott,Comedy
Hollywood Shuffle,1987,"Robert Townsend, Craigus R. Johnson, Helen Martin",Robert Townsend,Comedy
Homie Spumoni,2006,"Donald Faison, Jamie-Lynn Sigler, Whoopi Goldberg",Mike Cerrone,Comedy
Hot Potato,1976,"Jim Kelly, George Memmoli, Geoffrey Binney",Oscar Williams,Comedy
House Party,1990,"Christopher Reid, Robin Harris, Christopher Martin",Reginald Hudlin,Comedy
House Party 2,1991,"Christopher Reid, Christopher Martin, Martin Lawrence","George Jackson, Doug McHenry",Comedy
House Party 3,1994,"Christopher Reid, Christopher Martin, David Edwards",Eric Meza,Comedy
How High,2001,"Method Man, Redman, Obba Babatundé",Jesse Dylan,Comedy
I Can Do Bad All By Myself,2009,"Tyler Perry, Taraji P. Henson, Adam Rodriguez",Tyler Perry,Comedy
I Got the Hook Up,1998,"Master P, Anthony Johnson, Gretchen Palmer",Michael Martin,Comedy
I Think I Love My Wife,2007,"Chris Rock, Kerry Washington, Gina Torres",Chris Rock,Comedy
Imagine That,2009,"Eddie Murphy, Thomas Haden Church, Yara Shahidi",Karey Kirkpatrick,Comedy
I'm Gonna Git You Sucka,1988,"Keenen Ivory Wayans, Bernie Casey, Antonio Fargas",Keenen Ivory Wayans,Comedy
Jackie's Back,1999,"Jenifer Lewis, Tim Curry, T.V. Blake",Robert Townsend,Comedy
"Jo Jo Dancer, Your Life is Calling",1986,"Richard Pryor, Debbie Allen, Art Evans",Richard Pryor,Comedy
Johnson Family Vacation,2004,"Cedric the Entertainer, Shannon Elizabeth, Bow Wow",Christopher Erskin,Comedy
Juke Joint,1947,"Spencer Williams, July Jones, Inez Newell",Spencer Williams,Comedy
Jump In!,2007,"Corbin Bleu, Keke Palmer, David Reivers",Paul Hoen,Comedy
Jumping the Broom,2011,"Paula Patton, Laz Alonso, Angela Bassett",Salim Akil,Comedy
Just Wright,2010,"Queen Latifah, Common, Paula Patton",Sanaa Hamri,Comedy
Juwanna Mann,2002,"Miguel A. Núñez Jr., Christopher Simmons, Vivica A. Fox",Jesse Vaughan,Comedy
Kingdom Come,2001,"LL Cool J, Jada Pinkett Smith, Vivica A. Fox",Doug McHenry,Comedy
Krush Groove,1985,"Sheila E., Joseph Simmons, Darryl McDaniels",Michael Schultz,Comedy
Last Holiday,2006,"Queen Latifah, LL Cool J, Timothy Hutton",Wayne Wang,Comedy
