Title,Year,Stars,Director,Genre
Diamonds aka Diamond Shaft,1975,"Robert Shaw, Richard Roundtree, Barbara Hershey",Menahem Golan,Drama
Diary of a Mad Black Woman,2005,"Kimberly Elise, Steve Harris, Tyler Perry",Darren Grant,Drama
Diary of a Tired Black Man,2008,"Jimmy Jean-Louis, Paula Lema, Tim Alexander",Tim Alexander,Drama
Dirty Gertie from Harlem U.S.A.,1946,"Francine Everett, Don Wilson, Katherine Moore",Spencer Williams,Drama
Dirty Laundry,2006,"Rockmond Dunbar, Loretta Devine, Jenifer Lewis",Maurice Jamal,Drama
Disappearing Acts,2000,"Sanaa Lathan, Wesley Snipes, Michael Imperioli",Gina Prince-Bythewood,Drama
Disco Godfather,1979,"Rudy Ray Moore, Carol Speed, Jimmy Lynch",J. Robert Wagoner,Drama
Django Unchained,2012,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio",Quentin Tarantino,Drama
Do the Right Thing,1989,"Danny Aiello, Ossie Davis, Ruby Dee",Spike Lee,Drama
Don King: Only In America,1997,"Ving Rhames, Vondie Curtis-Hall, Jeremy Piven",John Herzfeld,Drama
Double Wedding,2010,"Tamera Mowry-Housley, Tia Mowry-Hardrict, O.T. Fagbenle",Craig Pryce,Drama
Down in the Delta,1998,"Alfre Woodard, Al Freeman Jr., Esther Rolle",Maya Angelou,Drama
Dreamgirls,2006,"Beyoncé Knowles, Jamie Foxx, Eddie Murphy",Bill Condon,Drama
Driving Miss Daisy,1989,"Morgan Freeman, Jessica Tandy, Dan Aykroyd",Bruce Beresford,Drama
Drop Squad,1994,"Eriq La Salle, Vondie Curtis-Hall, Ving Rhames",David C. Johnson,Drama
Drum,1976,"Warren Oates, Isela Vega, Ken Norton",Steve Carver,Drama
Drumline,2002,"Nick Cannon, Zoe Saldana, Orlando Jones",Charles Stone III,Drama
Dynamite Brothers,1974,"Timothy Brown, Alan Tang, Aldo Ray",Al Adamson,Drama
"Ebony, Ivory & Jade aka She Devil’s in Chains",1976,"Rosanne Katon, Colleen Camp, Sylvia Anderson",Cirio H. Santiago,Drama
Emma Mae aka Black Sisters Revenge,1976,"Jerri Hayes, Ernest Williams II, Charles D. Brooks III",Jamaa Fanaka,Drama
Eve's Bayou,1997,"Samuel L. Jackson, Jurnee Smollett-Bell, Meagan Good",Kasi Lemmons,Drama
Fallen,1998,"Denzel Washington, John Goodman, Donald Sutherland",Gregory Hoblit,Drama
Feast of All Saints,2001,"Robert Ri’chard, Peter Gallagher, Gloria Reuben",Peter Medak,Drama
Final Comedown,1972,"Billy Dee Williams, D’Urville Martin, Celia Kaye",Oscar Williams,Drama
Finding Forrester,2000,"Sean Connery, Rob Brown, F. Murray Abraham",Gus Van Sant,Drama
Fingers,1978,"Harvey Keitel, Tisa Farrow, Jim Brown",James Toback,Drama
Fire & Ice,2001,"Lark Voorhies, Kadeem Hardison, Glynn Turman",Bryan Goeres,Drama
Flight,2012,"Denzel Washington, Nadine Velazquez, Don Cheadle",Robert Zemeckis,Drama
Fly By Night,1993,"Jeffrey D. Sams, Ron Brice, David Adami",Steve Gomer,Drama
For Love of Ivy,1968,"Sidney Poitier, Abbey Lincoln, Beau Bridges",Daniel Mann,Drama
Freedom Road,1979,"Muhammad Ali, Kris Kristofferson, Ron O’Neal",Ján Kadár,Drama
Freedom Song,2000,"Danny Glover, Vicellous Reon Shannon, Vondie Curtis-Hall",Phil Alden Robinson,Drama
Fresh,1994,"Sean Nelson, Giancarlo Esposito, Samuel L. Jackson",Boaz Yakin,Drama
Friday,1995,"Ice Cube, Chris Tucker, Nia Long",F. Gary Gray,Drama
Friday After Next,2002,"Ice Cube, Mike Epps, John Witherspoon",Marcus Raboy,Drama
Friday Foster,1975,"Pam Grier, Yaphet Kotto, Godfrey Cambridge",Arthur Marks,Drama
Ganja and Hess,1973,"Duane Jones, Marlene Clark, Bill Gunn",Bill Gunn,Drama
"Georgia, Georgia",1972,"Dirk Benedict, Lars-Erik Berenett, Stig Engström",Stig Björkman,Drama
Get on the Bus,1996,"Ossie Davis, Charles S. Dutton, Andre Braugher",Spike Lee,Drama
Ghetto Freaks aka Love Commune aka Sign of Aquarius,1970,"Toni Ceo, Jim Coursar, Paul Elliot",Robert J. Emery,Drama
Ghost,1990,"Patrick Swayze, Demi Moore, Whoopi Goldberg",Jerry Zucker,Drama
Ghosts of Mississippi,1996,"Alec Baldwin, James Woods, Whoopi Goldberg",Rob Reiner,Drama
Girl 6,1996,"Theresa Randle, Isaiah Washington, Spike Lee",Spike Lee,Drama
Glory,1989,"Matthew Broderick, Denzel Washington, Cary Elwes", Edward Zwick,Drama
Glory Road,2006,"Josh Lucas, Derek Luke, Austin Nichols",James Gartner,Drama
Go Down Death,1944,"Myra D. Hemmings, Samuel H. James, Eddye L. Houston",Spencer Williams,Drama
Go Tell It on the Mountain,1984,"Paul Winfield, James Bond III, Olivia Cole",Stan Lathan,Drama
God's Step Children,1938,"Jacqueline Lewis, Ethel Moses, Alice B. Russell",Oscar Micheaux,Drama
Gone With the Wind,1939,"Clark Gable, Vivien Leigh, Thomas Mitchell",Victor Fleming,Drama
Good Deeds,2012,"Tyler Perry, Gabrielle Union, Thandie Newton",Tyler Perry,Drama
Good Fences,2003,"Danny Glover, Whoopi Goldberg, Zachary Simmons Glover",Ernest R. Dickerson,Drama
Graffiti Bridge,1990,"Prince, Morris Day, Ingrid Chavez",Prince,Drama
Gridock'd,1997,"Tupac Shakur, Tim Roth, Thandie Newton",Vondie Curtis-Hall,Drama
Guess Who's Coming to Dinner,1967,"Spencer Tracy, Sidney Poitier, Katharine Hepburn",Stanley Kramer,Drama
Hallelujah!,1929,"Daniel L. Haynes, Nina Mae McKinney, William Fountaine",King Vidor,Drama
Halls of Anger,1970,"Calvin Lockhart, Janet MacLachlan, Jeff Bridges",Paul Bogart,Drama
Hammer,1972,"Fred Williamson, Bernie Hamilton, Vonetta McGee",Bruce D. Clark,Drama
Hangin' with the Homeboys,1991,"Doug E. Doug, Mario Joyner, John Leguizamo",Joseph B. Vasquez,Drama
Hard Lessons aka The George McKenna Story,1986,"Denzel Washington, Lynn Whitfield, Debra Artis",Eric Laneuville,Drama
Harlem Nights,1989,"Eddie Murphy, Richard Pryor, Redd Foxx",Eddie Murphy,Drama
Have a Little Faith,2011,"Laurence Fishburne, Bradley Whitford, Anika Noni Rose", Jon Avnet,Drama
Having Our Say: The Delaney Sisters First 100 Years,1999,"Diahann Carroll, Ruby Dee, Amy Madigan",Lynne Littman,Drama
He Got Game,1998,"Denzel Washington, Milla Jovovich, Ray Allen",Spike Lee,Drama
Heart Condition,1990,"Bob Hoskins, Denzel Washington, Chloe Webb",James D. Parriott,Drama
Hell Up in Harlem,1973,"Fred Williamson, Julius Harris, Gloria Hendry",Larry Cohen,Drama
Hendrix,2000,"Wood Harris, Billy Zane, Dorian Harewood",Leon Ichaso,Drama
Hickey and Boggs,1972,"Bill Cosby, Robert Culp, Ta-Ronce Allen",Robert Culp,Drama
Higher Learning,1995,"Omar Epps, Kristy Swanson, Michael Rapaport",John Singleton,Drama
Hit Man,1972,"Bernie Casey, Pam Grier, Lisa Moore",George Armitage,Drama
Hit!,1973,"Billy Dee Williams, Richard Pryor, Paul Hampton",Sidney J. Furie,Drama
Holiday Heart,2000,"Ving Rhames, Alfre Woodard, Jesika Reynolds",Robert Townsend,Drama
Hoodlum,1997,"Laurence Fishburne, Tim Roth, Vanessa Williams",Bill Duke,Drama
Hoop Dreams,1994,"William Gates, Arthur Agee, Emma Gates",Steve James,Drama
Hot Potato,1976,"Jim Kelly, George Memmoli, Geoffrey Binney",Oscar Williams,Drama
Hotel Rwanda,2004,"Don Cheadle, Sophie Okonedo, Joaquin Phoenix",Terry George,Drama
House Party 2,1991,"Christopher Reid, Christopher Martin, Martin Lawrence","George Jackson, Doug McHenry",Drama
How Stella Got Her Groove Back,1998,"Angela Bassett, Taye Diggs, Whoopi Goldberg",Kevin Rodney Sullivan,Drama
How U Like Me Now?,1992,"Darnell Williams, Salli Richardson-Whitfield, Daniel Gardner",Darryl Roberts,Drama
Hustle and Flow,2005,"Terrence Howard, Ludacris, Anthony Anderson",Craig Brewer,Drama
I Am Legend,2007,"Will Smith, Alice Braga, Charlie Tahan",Francis Lawrence,Drama
I Can Do Bad All By Myself,2009,"Tyler Perry, Taraji P. Henson, Adam Rodriguez",Tyler Perry,Drama
I Passed for White,1960,"Sonya Wilde, James Franciscus, Patricia Michon",Fred M. Wilcox,Drama
I Think I Love My Wife,2007,"Chris Rock, Kerry Washington, Gina Torres",Chris Rock,Drama
Idlewild,2006,"Big Boi, Terrence Howard, André Benjamin",Bryan Barber,Drama
"If He Hollers, Let Him Go",1968,"Dana Wynter, Raymond St. Jacques, Kevin McCarthy",Charles Martin,Drama
Imagine That,2009,"Eddie Murphy, Thomas Haden Church, Yara Shahidi",Karey Kirkpatrick,Drama
"Imitation of Life, 1934",1934,"Claudette Colbert, Warren William, Rochelle Hudson",John M. Stahl,Drama
Imitation of Life �1959,1959,"Lana Turner, John Gavin, Sandra Dee",Douglas Sirk,Drama
