Rank,Release Group,Worldwide,Domestic,%,Foreign,%
131,Abominable 2021 Re-release,"$299,583","$110,000",36.7%,"$189,583",63.3%
132,Dawn Raid,"$292,930",-,-,"$292,930",100%
133,Ginger's Tale,"$284,298",-,-,"$284,298",100%
134,Don't Heal Me,"$282,513",-,-,"$282,513",100%
135,American Skin,"$282,332","$282,332",100%,-,-
136,Hidden Figures 2021 Re-release,"$268,295",-,-,"$268,295",100%
137,The Only Way Out,"$248,102",-,-,"$248,102",100%
138,Cosmic Sin,"$246,325",-,-,"$246,325",100%
139,Vellam,"$233,364",-,-,"$233,364",100%
140,Kto-nibud videl moyu devchonku?,"$231,092",-,-,"$231,092",100%
141,Sultan,"$229,905",-,-,"$229,905",100%
142,"Have Fun, Vasya! Date in Bali","$199,291",-,-,"$199,291",100%
143,Go Back,"$190,002",-,-,"$190,002",100%
144,The Child Who Would Not Come,"$187,589",-,-,"$187,589",100%
145,Kill It and Leave This Town,"$183,771",-,-,"$183,771",100%
146,Um Tio Quase Perfeito 2,"$180,607",-,-,"$180,607",100%
147,Sound of Metal,"$174,936",-,-,"$174,936",100%
148,The Lord of the Rings: The Return of the King 2021 Re-release,"$166,473",-,-,"$166,473",100%
149,Groundhog Day 2021 Re-release,"$166,447","$166,447",100%,-,-
150,The Reckoning,"$163,594","$143,532",87.7%,"$20,062",12.3%
151,Blind,"$147,131",-,-,"$147,131",100%
152,Song Song,"$140,886",-,-,"$140,886",100%
153,Shades Of The Heart,"$139,869",-,-,"$139,869",100%
154,No Man's Land,"$139,221","$139,221",100%,-,-
155,Ascendant,"$138,362",-,-,"$138,362",100%
156,Food Club,"$136,167",-,-,"$136,167",100%
157,SAS: Red Notice,"$130,114","$78,721",60.5%,"$51,393",39.5%
158,Scarecrow,"$128,665",-,-,"$128,665",100%
159,Anything for Jackson,"$119,340",-,-,"$119,340",100%
160,Jurassic World 2021 Re-release,"$115,000","$115,000",100%,-,-
161,The World to Come,"$114,379","$114,379",100%,-,-
162,Rang De,"$113,975",-,-,"$113,975",100%
163,The Priest,"$110,855",-,-,"$110,855",100%
164,Redemption Day,"$106,365",-,-,"$106,365",100%
165,Our Friend 2021 Re-release,"$100,668",-,-,"$100,668",100%
