Title,Genre,Year,Director,Stars,Worldwide,Domestic,%,Foreign,%.1
Big Momma's House,,2000,Michael Bay,Martin Lawrence,"$173,959,438","$117,559,438",67.6%,"$56,400,000",32.4%
Ali,,2001,Michael Mann,Will Smith,"$87,713,825","$58,203,105",66.4%,"$29,510,720",33.6%
Ali,Drama,2001,Michael Mann,"Will Smith, Jamie Foxx, Jon Voight","$87,713,825","$58,203,105",66.4%,"$29,510,720",33.6%
Bones,,2001,Ernest R. Dickerson,Snoop Dogg,"$8,378,853","$7,316,658",87.3%,"$1,062,195",12.7%
The Brothers,,2001,Gary Hardwick,Morris Chestnut,"$27,958,191","$27,457,409",98.2%,"$500,782",1.8%
The Brothers,Comedy,2001,Gary Hardwick,"Morris Chestnut, Shemar Moore, D.L. Hughley","$27,958,191","$27,457,409",98.2%,"$500,782",1.8%
Training Day,,2001,Antoine Fuqua,,"$104,876,233","$76,631,907",73.1%,"$28,244,326",26.9%
All About the Benjamins,,2002,Kevin Bray,Ice Cube,"$26,306,533","$25,916,319",98.5%,"$390,214",1.5%
Antwone Fisher,,2002,Denzel Washington,Derek Luke,"$23,367,586","$21,078,145",90.2%,"$2,289,441",9.8%
Antwone Fisher,Romance,2002,Denzel Washington,"Denzel Washington, Derek Luke, Joy Bryant","$23,367,586","$21,078,145",90.2%,"$2,289,441",9.8%
Antwone Fisher,Drama,2002,Denzel Washington,"Denzel Washington, Derek Luke, Joy Bryant","$23,367,586","$21,078,145",90.2%,"$2,289,441",9.8%
Barbershop,,2002,Tim Story,Ice Cube,"$77,063,924","$75,782,105",98.3%,"$1,281,819",1.7%
Barbershop,Comedy,2002,Tim Story,"Ice Cube, Cedric the Entertainer, Eve","$77,063,924","$75,782,105",98.3%,"$1,281,819",1.7%
Barbershop,Drama,2002,Tim Story,"Ice Cube, Cedric the Entertainer, Eve","$77,063,924","$75,782,105",98.3%,"$1,281,819",1.7%
Bad Boys II,,2003,Michael Bay,Will Smith & Martin Lawrence,"$273,339,556","$138,608,444",50.7%,"$134,731,112",49.3%
Bad Boys II,Comedy,2003,Michael Bay,"Will Smith, Martin Lawrence, Gabrielle Union","$273,339,556","$138,608,444",50.7%,"$134,731,112",49.3%
Bad Boys II,Action,2003,Michael Bay,"Will Smith, Martin Lawrence, Gabrielle Union","$273,339,556","$138,608,444",50.7%,"$134,731,112",49.3%
