Title,Genre,Year,Director,Stars,Worldwide,Domestic,%,Foreign,%.1
Stomp the Yard,Romance,2007,Sylvain White,"Columbus Short, Meagan Good, Ne-Yo","$75,511,123","$61,356,221",81.3%,"$14,154,902",18.7%
Trois,Romance,2000,Rob Hardy,"Gary Dourdan, Gretchen Palmer, Kenya Moore","$1,161,843","$1,161,843",100%,-,-
Zebrahead,Romance,1992,Anthony Drazan,"Michael Rapaport, DeShonn Castle, Kevin Corrigan","$1,557,771","$1,557,771",100%,-,-
A Private Affair,Drama,2000,Michael Toshiyuki Uno,"Vanessa Bell Calloway, Clifton Powell, Lou Myers","$2,216,230",-,-,"$2,216,230",100%
A Time to Kill,Drama,1996,Joel Schumacher,"Matthew McConaughey, Sandra Bullock, Samuel L. Jackson","$108,766,007","$108,766,007",100%,-,-
American Violet,Drama,2008,Tim Disney,"Nicole Beharie, Will Patton, Alfre Woodard","$554,434","$554,434",100%,-,-
Amistad,Drama,1997,Steven Spielberg,"Djimon Hounsou, Matthew McConaughey, Anthony Hopkins","$44,229,441","$44,229,441",100%,-,-
Baadasssss!,Drama,2003,Mario Van Peebles,"Mario Van Peebles, Nia Long, Joy Bryant","$365,727","$365,727",100%,-,-
Beat Street,Drama,1984,Stan Lathan,"Rae Dawn Chong, Guy Davis, Jon Chardiet","$16,595,791","$16,595,791",100%,-,-
Belly,Drama,1998,Hype Williams,"Nas, DMX, Taral Hicks","$9,639,390","$9,639,390",100%,-,-
Biker Boyz,Drama,2003,Reggie Rock Bythewood,"Laurence Fishburne, Derek Luke, Orlando Jones","$23,510,621","$22,076,772",93.9%,"$1,433,849",6.1%
Biker Boyz,Action,2003,Reggie Rock Bythewood,"Laurence Fishburne, Derek Luke, Orlando Jones","$23,510,621","$22,076,772",93.9%,"$1,433,849",6.1%
Bird,Drama,1988,Clint Eastwood,"Forest Whitaker, Diane Venora, Michael Zelniker","$2,181,286","$2,181,286",100%,-,-
Blood Done Sign My Name,Drama,2010,Jeb Stuart,"Michael Rooker, Ricky Schroder, Nick Searcy","$109,383","$109,383",100%,-,-
Blue Collar,Drama,1978,Paul Schrader,"Richard Pryor, Harvey Keitel, Yaphet Kotto","$6,521,083","$6,521,083",100%,-,-
Boesman and Lena,Drama,2000,John Berry,"Danny Glover, Angela Bassett, Willie Jonah","$32,625","$32,625",100%,-,-
Bopha!,Drama,1993,Morgan Freeman,"Danny Glover, Malcolm McDowell, Alfre Woodard","$212,483","$212,483",100%,-,-
Brother to Brother,Drama,2004,Rodney Evans,"Anthony Mackie, Lawrence Gilliard Jr., Duane Boutte","$80,906","$80,906",100%,-,-
Brubaker,Drama,1980,Stuart Rosenberg,"Robert Redford, Yaphet Kotto, Morgan Freeman","$37,121,708","$37,121,708",100%,-,-
Buffalo Soldiers,Drama,1997,Charles Haid,"Lamont Bentley, Tom Bower, Timothy Busfield","$2,295,274","$354,421",15.4%,"$1,940,853",84.6%
Caught Up,Drama,1998,Darin Scott,"Bokeem Woodbine, Cynda Williams, Damon Saleem","$6,754,958","$6,754,958",100%,-,-
Civil Brand,Drama,2002,Neema Barnette,"LisaRaye, N’Bushe Wright, Mos Def","$254,293","$254,293",100%,-,-
Clockers,Drama,1995,Spike Lee,"Harvey Keitel, John Turturro, Delroy Lindo","$13,071,518","$13,071,518",100%,-,-
Coach Carter,Drama,2005,Thomas Carter,"Samuel L. Jackson, Rick Gonzalez, Robert Ri’chard","$76,669,554","$67,264,877",87.7%,"$9,404,677",12.3%
Constellation,Drama,2005,Jordan Walker-Pearlman,"Gabrielle Union, Billy Dee Williams, Zoe Saldana","$306,533","$306,533",100%,-,-
Courage Under Fire,Drama,1996,Edward Zwick,"Denzel Washington, Meg Ryan, Lou Diamond Phillips","$59,031,057","$59,031,057",100%,-,-
Cover,Drama,2007,Bill Duke,"Aunjanue Ellis, Razaaq Adoti, Vivica A. Fox","$79,436","$79,436",100%,-,-
Cry Freedom,Drama,1987,Richard Attenborough,"Denzel Washington, Kevin Kline, Josette Simon","$5,899,797","$5,899,797",100%,-,-
Dead Presidents,Drama,1995,"Albert Hughes, Allen Hughes","Larenz Tate, Keith David, Chris Tucker","$24,147,179","$24,147,179",100%,-,-
Devil in a Blue Dress,Drama,1995,Carl Franklin,"Denzel Washington, Tom Sizemore, Jennifer Beals","$16,140,822","$16,140,822",100%,-,-
Do the Right Thing,Drama,1989,Spike Lee,"Danny Aiello, Ossie Davis, Ruby Dee","$27,545,445","$27,545,445",100%,-,-
Down in the Delta,Drama,1998,Maya Angelou,"Alfre Woodard, Al Freeman Jr., Esther Rolle","$5,672,903","$5,672,903",100%,-,-
Drop Squad,Drama,1994,David C. Johnson,"Eriq La Salle, Vondie Curtis-Hall, Ving Rhames","$734,693","$734,693",100%,-,-
Eve's Bayou,Drama,1997,Kasi Lemmons,"Samuel L. Jackson, Jurnee Smollett-Bell, Meagan Good","$14,842,388","$14,842,388",100%,-,-
Finding Forrester,Drama,2000,Gus Van Sant,"Sean Connery, Rob Brown, F. Murray Abraham","$80,049,764","$51,804,714",64.7%,"$28,245,050",35.3%
Flight,Drama,2012,Robert Zemeckis,"Denzel Washington, Nadine Velazquez, Don Cheadle","$161,772,375","$93,772,375",58%,"$68,000,000",42%
Ganja and Hess,Drama,1973,Bill Gunn,"Duane Jones, Marlene Clark, Bill Gunn","$21,197","$21,197",100%,-,-
Get on the Bus,Drama,1996,Spike Lee,"Ossie Davis, Charles S. Dutton, Andre Braugher","$5,754,249","$5,754,249",100%,-,-
Ghosts of Mississippi,Drama,1996,Rob Reiner,"Alec Baldwin, James Woods, Whoopi Goldberg","$13,323,144","$13,323,144",100%,-,-
Graffiti Bridge,Drama,1990,Prince,"Prince, Morris Day, Ingrid Chavez","$4,562,778","$4,562,778",100%,-,-
He Got Game,Drama,1998,Spike Lee,"Denzel Washington, Milla Jovovich, Ray Allen","$21,567,853","$21,567,853",100%,-,-
Hoodlum,Drama,1997,Bill Duke,"Laurence Fishburne, Tim Roth, Vanessa Williams","$23,499,102","$23,499,102",100%,-,-
Hoop Dreams,Drama,1994,Steve James,"William Gates, Arthur Agee, Emma Gates","$7,830,611","$7,830,611",100%,-,-
Hotel Rwanda,Drama,2004,Terry George,"Don Cheadle, Sophie Okonedo, Joaquin Phoenix","$33,882,243","$23,530,892",69.4%,"$10,351,351",30.6%
Idlewild,Drama,2006,Bryan Barber,"Big Boi, Terrence Howard, André Benjamin","$12,643,027","$12,571,185",99.4%,"$71,842",0.6%
Jason's Lyric,Drama,1994,Doug McHenry,"Allen Payne, Jada Pinkett Smith, Bokeem Woodbine","$20,851,521","$20,851,521",100%,-,-
John Q,Drama,2002,Nick Cassavetes,"Denzel Washington, Robert Duvall, Gabriela Oltean","$102,244,770","$71,756,802",70.2%,"$30,487,968",29.8%
Juice,Drama,1992,Ernest R. Dickerson,"Omar Epps, Tupac Shakur, Jermaine ‘Huggy’ Hopkins","$20,146,880","$20,146,880",100%,-,-
Killer of Sheep,Drama,1979,Charles Burnett,"Henry G. Sanders, Kaycee Moore, Charles Bracy","$416,509","$404,508",97.1%,"$12,001",2.9%
Kings of the Evening,Drama,2008,Andrew P. Jones,"Tyson Beckford, Lynn Whitfield, Glynn Turman","$99,270","$99,270",100%,-,-
Lakeview Terrace,Drama,2008,Neil LaBute,"Samuel L. Jackson, Patrick Wilson, Kerry Washington","$44,655,002","$39,263,506",87.9%,"$5,391,496",12.1%
Lean on Me,Drama,1989,John G. Avildsen,"Morgan Freeman, Beverly Todd, Robert Guillaume","$31,906,454","$31,906,454",100%,-,-
Lean on Me,Action,1989,John G. Avildsen,"Morgan Freeman, Beverly Todd, Robert Guillaume","$31,906,454","$31,906,454",100%,-,-
Light It Up,Drama,1999,Craig Bolotin,"Usher Raymond, Forest Whitaker, Rosario Dawson","$5,985,690","$5,985,690",100%,-,-
Losing Isaiah,Drama,1995,Stephen Gyllenhaal,"Jessica Lange, Halle Berry, David Strathairn","$7,603,766","$7,603,766",100%,-,-
48 Hrs.,Action,1982,Walter Hill,"Nick Nolte, Eddie Murphy, Annette O’Toole","$78,868,508","$78,868,508",100%,-,-
Alex Cross,Action,2012,Rob Cohen,"Tyler Perry, Matthew Fox, Rachel Nichols","$34,618,867","$25,888,412",74.8%,"$8,730,455",25.2%
Blade II,Action,2002,Guillermo del Toro,"Wesley Snipes, Kris Kristofferson, Ron Perlman","$155,010,032","$82,348,319",53.1%,"$72,661,713",46.9%
Crossover,Action,2006,Preston A. Whitmore II,"Anthony Mackie, Wesley Jonathan, Wayne Brady","$7,009,668","$7,009,668",100%,-,-
Deep Cover,Action,1992,Bill Duke,"Laurence Fishburne, Jeff Goldblum, Lira Angel","$16,639,799","$16,639,799",100%,-,-
"I, Robot",Action,2004,Alex Proyas,"Will Smith, Bridget Moynahan, Bruce Greenwood","$353,133,898","$144,801,023",41%,"$208,332,875",59%
Lethal Weapon,Action,1987,Richard Donner,"Mel Gibson, Danny Glover, Gary Busey","$65,207,127","$65,207,127",100%,-,-
Miracle at St. Anna,Action,2008,Spike Lee,"Derek Luke, Michael Ealy, Laz Alonso","$9,333,654","$7,919,117",84.8%,"$1,414,537",15.2%
Original Gangstas,Action,1996,Larry Cohen,"Fred Williamson, Jim Brown, Pam Grier","$3,718,087","$3,718,087",100%,-,-
Ricochet,Action,1991,Russell Mulcahy,"Denzel Washington, John Lithgow, Ice-T","$21,756,163","$21,756,163",100%,-,-
Rosewood,Action,1997,John Singleton,"Jon Voight, Ving Rhames, Don Cheadle","$13,130,349","$13,130,349",100%,-,-
Safe House,Action,2012,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Robert Patrick","$208,076,205","$126,373,434",60.7%,"$81,702,771",39.3%
Set It Off,Action,1996,F. Gary Gray,"Jada Pinkett Smith, Queen Latifah, Vivica A. Fox","$36,461,139","$36,461,139",100%,-,-
Sugar Hill,Action,1974,Paul Maslansky,"Marki Bey, Robert Quarry, Don Pedro Colley","$18,225,518","$18,225,518",100%,-,-
Surviving the Game,Action,1994,Ernest R. Dickerson,"Rutger Hauer, Ice-T, Charles S. Dutton","$7,727,256","$7,727,256",100%,-,-
The Book of Eli,Action,2010,"Albert Hughes, Allen Hughes","Denzel Washington, Mila Kunis, Ray Stevenson","$157,107,755","$94,835,059",60.4%,"$62,272,696",39.6%
The Mighty Quinn,Action,1989,Carl Schenkel,"Denzel Washington, Robert Townsend, James Fox","$4,557,214","$4,557,214",100%,-,-
The Siege,Action,1998, Edward Zwick,"Denzel Washington, Bruce Willis, Annette Bening","$116,672,912","$40,981,289",35.1%,"$75,691,623",64.9%
Turn It Up,Action,2000,Robert Adetuyi,"Pras, Ja Rule, Jason Statham","$1,247,949","$1,247,949",100%,-,-
Undisputed,Action,2002,Walter Hill,"Wesley Snipes, Ving Rhames, Peter Falk","$14,946,150","$12,764,657",85.4%,"$2,181,493",14.6%
Undisputed 2: Last Man Standing,Action,2006,Isaac Florentine,"Michael Jai White, Scott Adkins, Ben Cross","$1,361",-,-,"$1,361",100%
Undisputed 3: Redemption,Action,2010,Isaac Florentine,"Scott Adkins, Mykel Shannon Jenkins, Mark Ivanir","$282,548",-,-,"$282,548",100%
Virtuosity,Action,1995,Brett Leonard,"Denzel Washington, Russell Crowe, Kelly Lynch","$24,047,675","$24,047,675",100%,-,-
