Director,Title,Year,Budget,Worldwide,Studio,Genre,Domestic,Foreign,Domestic %,Foreign%,Stars
Kevin Rodney Sullivan,How Stella Got Her Groove Back,1998,"$20,000,000","$39,278,722",Twentieth Century Fox,Romance,"$37,672,941","$1,605,781",95.90%,4%,"Angela Bassett, Taye Diggs, Whoopi Goldberg"
Malcolm D. Lee,Barbershop: The Next Cut,2016,"$20,000,000","$55,030,051",Warner Bros,Comedy,"$54,030,051","$1,000,000",98.20%,2%,"Ice Cube, Regina Hall, Eve"
Neil LaBute,Lakeview Terrace,2008,"$20,000,000","$44,655,002",Screen Gems,Drama,"$39,263,506","$5,391,496",87.90%,12%,"Samuel L. Jackson, Patrick Wilson, Kerry Washington"
Tyler Perry,Why Did I Get Married Too?,2010,"$20,000,000","$60,673,972",Lionsgate,Comedy,"$60,095,852","$578,120",99%,1%,
Walter Hill,Undisputed,2002,"$20,000,000","$14,946,150",Miramax,Action,"$12,764,657","$2,181,493",85.40%,15%,"Wesley Snipes, Ving Rhames, Peter Falk"
Tyler Perry,Madea's Witness Protection,2012,"$20,000,000","$66,899,242",Lionsgate,Comedy,"$65,653,242","$1,246,000",98.10%,2%,"Tyler Perry, Eugene Levy, Denise Richards"
Tyler Perry,A Madea Family Funeral,2019,"$20,000,000","$74,747,725",Lionsgate,Comedy,"$73,257,045","$1,490,680",98%,2%,
Tyler Perry,Boo! A Madea Halloween,2016,"$20,000,000","$74,827,344",Lionsgate,Comedy,"$73,206,343","$1,621,001",97.80%,2%,Tyler Perry
Malcolm D. Lee,Girls Trip,2017,"$19,000,000","$140,552,359",Universal Pictures,Comedy,"$115,171,585","$25,380,774",81.90%,18%,"Regina Hall,Jada Pinkett Smith, Tiffany Haddish, Queen Latifah"
Michael Bay,Bad Boys ,2003,"$19,000,000","$65,807,024",Sony Pictures Entertainment,Action,"$65,807,024",-,100.00%,0%,"Will Smith, Martin Lawrence, Gabrielle Union"
Michael Bay,Bad Boys,2003,"$19,000,000","$65,807,024",Sony Pictures Entertainment,Comedy,"$65,807,024",-,100.00%,0%,"Will Smith, Martin Lawrence, Gabrielle Union"
Melina Matsoukas,Queen & Slim,2019,"$18,000,000","$47,803,176",Universal Pictures,Drama,"$43,808,310","$3,994,866",91.60%,8%,"Daniel Kaluuya,  Jodie Turner-Smith"
Kasi Lemmons,Black Nativity,2013,"$17,500,000","$7,454,185",Fox Searchlight Pictures,Drama,"$7,018,189","$435,996",94.20%,6%,"Forest Whitaker, Angela Bassett, Jennifer Hudson, Mary J. Blige"
